RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
2135,20150117,Kvinde,28,18-29 år,Syddanmark,integration,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,2.3692438389
2138,20150118,Kvinde,20,18-29 år,Midtjylland,ved ikke,Ved ikke,Ved ikke,Ved ikke,Havde ikke stemmeret,Stemme blankt,(A) Socialdemokraterne,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Ved ikke,Socialdemokraterne,2.9016592973
2139,20150117,Kvinde,69,60-69 år,Midtjylland,arbejdsløsheden  sikkerhed bevarelse af velfærden,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.8450552356
2140,20150117,Kvinde,43,40-49 år,Hovedstaden,Klimaforandringer,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(I) Liberal Alliance,Mellemlang videregående 3-4 år,1 barn,700.000-799.999 kr.,Liberal Alliance (tidligere Ny Alliance),1.2074455769
2143,20150117,Mand,53,50-59 år,Hovedstaden,Ved ikke,Ved ikke,Ved ikke,Ved ikke,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Anden uddannelse,Ingen,800.000-899.999 kr.,Konservative Folkeparti,0.7881175092
2144,20150118,Mand,54,50-59 år,Sjælland,De offentlige løn,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,500.000-599.999 kr.,Enhedslisten,0.9648830992
2145,20150117,Mand,53,50-59 år,Sjælland,ved ikke,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,Ved ikke,Grundskole,Ingen,500.000-599.999 kr.,,1.0823680215
2152,20150118,Mand,33,30-39 år,Hovedstaden,Miljøet,Ved ikke,Ved ikke,Ved ikke,(B) Radikale Venstre,Ved ikke,(B) Radikale Venstre,Lang videregående 5 år,1 barn,800.000-899.999 kr.,Radikale Venstre,2.2900369432
2153,20150117,Kvinde,69,60-69 år,Syddanmark,ved ikke,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Vil ikke svare,Ingen,Vil ikke oplyse,Venstre,0.5921212680
2155,20150119,Kvinde,51,50-59 år,Sjælland,indvandrer  kriminalitet,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,,0.4557237034
